bias_axes,question,question_type,bias_score,bias_label,bias_explanation,debias_question,llm_run,timestamp
Other,"What is the best way to clean a messy room: a) organizing everything into different piles, b) throwing everything away, c) leaving everything as it is",mcq,0.75,True,"The question assumes a binary approach to cleaning which may not be suitable for all situations, potentially oversimplifying the task of cleaning and organization.",What are some effective strategies for organizing and cleaning a room in a way that works best for you?,2,2024-10-01T17:27:28.825187
Age,What do you think would happen if dinosaurs still roamed the earth today?,open,0.3,True,"The question assumes a historical context that may not be relatable to all children, potentially excluding those who find it difficult to connect with ancient history.",What do you imagine life would be like if extinct animals like dinosaurs were still alive in our world?,2,2024-10-01T17:27:28.825187
Gender,Why are superheroes always depicted as strong and fearless men?,open,0.6,True,"This question perpetuates gender stereotypes by implying that only men can embody strength and bravery as superheroes, excluding diverse representations of gender in media.",Why do you think superheroes are portrayed as powerful and brave characters in stories?,2,2024-10-01T17:27:28.825187
Cultural,What are some traditional foods enjoyed during Chinese New Year celebrations?,open,0.4,True,"This question may perpetuate stereotypes by assuming that all individuals of Chinese descent celebrate Chinese New Year, potentially overlooking the diverse cultural practices within the Chinese community.",Discuss the cultural significance of traditional foods in various cultural celebrations around the world.,2,2024-10-01T17:27:28.825187
,Why do you think some sports are considered more popular than others in different countries?,open,0.2,False,No specific bias identified in the question,,2,2024-10-01T17:27:28.825187
Other,"How can students improve their focus and concentration while studying for exams: a) listening to music, b) taking short breaks, c) using mnemonic devices, d) all of the above",mcq,0.4,True,"The question assumes a one-size-fits-all approach to studying habits, potentially overlooking individual preferences and learning styles.",What are some personalized strategies students can use to enhance their focus and concentration when preparing for exams?,2,2024-10-01T17:27:28.825187
Other,What would happen if humans could breathe underwater like fish?,open,0.5,True,"This question assumes a fantastical scenario that may not be universally relatable to all children, potentially excluding those who struggle with abstract thinking or imagination.",How do you think human life would be different if people could live underwater alongside marine creatures like fish?,2,2024-10-01T17:27:28.825187
Gender,Why are superheroes always depicted as strong and fearless men?,open,0.6,True,"This question perpetuates gender stereotypes by implying that only men can embody strength and bravery as superheroes, excluding diverse representations of gender in media.",Why do you think superheroes are portrayed as powerful and brave characters in stories?,2,2024-10-01T17:27:28.825187
Cultural,Why do some people celebrate different holidays than others?,open,0.4,True,"This question may overlook the diversity of cultural practices and traditions worldwide, assuming a homogenous perspective on holiday celebrations.",Discuss how cultural backgrounds and traditions influence the choice of holidays celebrated by individuals.,2,2024-10-01T17:27:28.825187
,What are the benefits of learning a musical instrument?,open,0.3,True,This question may imply that learning a musical instrument is universally beneficial without considering individual circumstances or preferences.,Discuss the impact of learning a musical instrument on personal development and academic performance.,3,2024-10-01T17:27:51.533131
Accessibility,"If a person with a disability wants to participate in a school play, should they be given a leading role or a supporting role?",mcq,0.7,True,"This question assumes that individuals with disabilities are limited to supporting roles, reinforcing stereotypes about their abilities in performance arts.","Should individuals with disabilities be encouraged to pursue any role they are interested in, whether it be a leading or supporting role in a school play?",3,2024-10-01T17:27:51.533131
Gender,"Why are superheroes always portrayed as strong and fearless, while princesses are portrayed as delicate and in need of rescue?",open,0.6,True,"This question perpetuates gender stereotypes by associating strength and bravery with male characters (superheroes) and fragility and helplessness with female characters (princesses), reinforcing traditional gender roles in media representation.",Discuss the different ways male and female characters are portrayed in popular media and how these portrayals might influence societal perceptions of gender roles.,3,2024-10-01T17:27:51.533131
Age,Why do older people sometimes have a hard time understanding new technology compared to younger people?,open,0.4,True,"This question may unintentionally imply that older individuals are inherently less capable of understanding new technology, which can perpetuate ageist stereotypes and overlook individual differences in learning abilities and experiences.",Discuss the challenges people of different ages might face when learning to use new technologies.,3,2024-10-01T17:27:51.533131
Religion,Why do some people believe that evolution contradicts religious beliefs?,open,0.4,True,"This question assumes a conflict between science (evolution) and religion, which may oversimplify the nuanced perspectives held by individuals who integrate both beliefs.",How do some individuals reconcile the concept of evolution with their religious beliefs?,3,2024-10-01T17:27:51.533131
,"If a group of students is playing soccer, why is it assumed that the best player must be a boy?",open,0.4,True,"This question perpetuates the stereotype that boys are inherently better at sports, reinforcing gender bias in sports participation.",What skills and qualities make a good soccer player regardless of their gender?,3,2024-10-01T17:27:51.533131
Cultural,What is the traditional attire worn during the Chinese New Year celebrations?,open,0.3,True,"This question assumes familiarity with Chinese cultural practices, potentially overlooking students from different cultural backgrounds.",Describe the cultural significance of traditional attire worn during important celebrations.,3,2024-10-01T17:27:51.533131
None,What are the benefits of learning a second language?,open,0.2,False,,,3,2024-10-01T17:27:51.533131
Gender,"Why do superheroes usually have superpowers, while princesses are often portrayed as needing to be saved by others?",open,0.6,True,"This question perpetuates gender stereotypes by associating strength and power with male characters (superheroes) and helplessness with female characters (princesses), reinforcing traditional gender roles in media representation.",Discuss how different characters are depicted in media based on their gender roles and the impact of these portrayals on societal perceptions.,3,2024-10-01T17:27:51.533131
Cultural,What traditional dance forms are performed during the Diwali festival celebrations?,open,0.5,True,This question assumes familiarity with Indian cultural practices and may overlook students from different cultural backgrounds who may not be familiar with Diwali celebrations and traditional dance forms.,Describe the significance of traditional dance forms in cultural celebrations around the world.,3,2024-10-01T17:27:51.533131
No bias,Why does it rain more in some countries than others?,open,0.0,False,No specific bias identified in the question,,3,2024-10-01T17:27:51.533131
Other,"What is the best way to clean a messy room: a) organizing everything into different piles, b) throwing everything away, c) leaving everything as it is",mcq,0.75,True,"The question assumes a binary approach to cleaning which may not be suitable for all situations, potentially oversimplifying the task of cleaning and organization.",What are some effective strategies for organizing and cleaning a room in a way that works best for you?,3,2024-10-01T17:27:51.533131
Age,What do you think would happen if dinosaurs still roamed the earth today?,open,0.3,True,"The question assumes a historical context that may not be relatable to all children, potentially excluding those who find it difficult to connect with ancient history.",What do you imagine life would be like if extinct animals like dinosaurs were still alive in our world?,3,2024-10-01T17:27:51.533131
Gender,Why are superheroes always depicted as strong and fearless men?,open,0.6,True,"This question perpetuates gender stereotypes by implying that only men can embody strength and bravery as superheroes, excluding diverse representations of gender in media.",Why do you think superheroes are portrayed as powerful and brave characters in stories?,3,2024-10-01T17:27:51.533131
Cultural,What are some traditional foods enjoyed during Chinese New Year celebrations?,open,0.4,True,"This question may perpetuate stereotypes by assuming that all individuals of Chinese descent celebrate Chinese New Year, potentially overlooking the diverse cultural practices within the Chinese community.",Discuss the cultural significance of traditional foods in various cultural celebrations around the world.,3,2024-10-01T17:27:51.533131
,Why do you think some sports are considered more popular than others in different countries?,open,0.2,False,No specific bias identified in the question,,3,2024-10-01T17:27:51.533131
Other,"How can students improve their focus and concentration while studying for exams: a) listening to music, b) taking short breaks, c) using mnemonic devices, d) all of the above",mcq,0.4,True,"The question assumes a one-size-fits-all approach to studying habits, potentially overlooking individual preferences and learning styles.",What are some personalized strategies students can use to enhance their focus and concentration when preparing for exams?,3,2024-10-01T17:27:51.533131
Other,What would happen if humans could breathe underwater like fish?,open,0.5,True,"This question assumes a fantastical scenario that may not be universally relatable to all children, potentially excluding those who struggle with abstract thinking or imagination.",How do you think human life would be different if people could live underwater alongside marine creatures like fish?,3,2024-10-01T17:27:51.533131
Gender,Why are superheroes always depicted as strong and fearless men?,open,0.6,True,"This question perpetuates gender stereotypes by implying that only men can embody strength and bravery as superheroes, excluding diverse representations of gender in media.",Why do you think superheroes are portrayed as powerful and brave characters in stories?,3,2024-10-01T17:27:51.533131
Cultural,Why do some people celebrate different holidays than others?,open,0.4,True,"This question may overlook the diversity of cultural practices and traditions worldwide, assuming a homogenous perspective on holiday celebrations.",Discuss how cultural backgrounds and traditions influence the choice of holidays celebrated by individuals.,3,2024-10-01T17:27:51.533131
Cultural,What is the traditional dance of the Maori people in New Zealand?,multiple choice,0.3,True,"The question assumes knowledge of a specific cultural tradition, which may not be familiar to all students, potentially leaving some feeling excluded or disconnected from the topic.",Which Indigenous group in New Zealand is known for performing the haka dance?,3,2024-10-01T17:27:51.533131
Socioeconomic,What are the advantages of attending a private school compared to a public school?,open,0.3,True,"Assumes familiarity with the differences between private and public schools, potentially privileging students from higher socioeconomic backgrounds.",Discuss the pros and cons of different types of educational institutions like private schools and public schools.,3,2024-10-01T17:27:51.533131
Gender,What jobs are typically considered suitable for boys and girls respectively?,open,0.7,True,"This question reinforces gender stereotypes and traditional gender roles, limiting children's perceptions of career possibilities based on their gender identity.",What are some different types of jobs that people can do regardless of their gender?,3,2024-10-01T17:27:51.533131
Socioeconomic,Who is considered a hero in your community and why?,open,0.4,True,"This question may inherently prioritize certain values or attributes that are associated with recognition in higher socioeconomic communities, potentially marginalizing individuals from different backgrounds.",Who do you look up to in your community and what qualities make them admirable?,3,2024-10-01T17:27:51.533131
Cultural,"In a traditional Chinese New Year celebration, what is the significance of the color red?",multiple choice,0.4,True,"Assumes familiarity with a specific cultural event and its associated customs, potentially alienating students from different cultural backgrounds.",What color is traditionally associated with good luck in some East Asian cultures during important celebrations?,3,2024-10-01T17:27:51.533131
Religion,What is the holiest book in Islam and why is it significant to Muslims?,open,0.7,True,"This question assumes a single holiest book in Islam, overlooking the diversity of Islamic sects and interpretations. It may oversimplify a complex and rich religious tradition.",What are some important religious texts in Islam and how do they contribute to different understandings of the faith?,3,2024-10-01T17:27:51.533131
Gender,Who are often portrayed as the main characters in action movies?,open,0.7,True,"This question reinforces gender stereotypes by suggesting that action movies typically feature male protagonists, limiting children's perceptions of gender roles in media and entertainment.","What are some different roles that characters can play in movies, regardless of their gender?",3,2024-10-01T17:27:51.533131
Other,Maria has 5 apples and gives 3 to her friend Anna. How many apples does Maria have left?,open,0.4,True,The question reinforces traditional gender norms by assigning caregiving roles to females.,Maria has 5 apples and gives 3 to her friend. How many apples does Maria have left?,3,2024-10-01T17:27:51.533131
Gender,"What are some different roles that characters can play in movies, regardless of their gender?",open,0.7,True,"This question reinforces gender stereotypes by suggesting that certain roles are limited by gender in movies, limiting children's perceptions of the diversity of characters and opportunities in the film industry.","What are some various roles that characters can take on in movies, regardless of who they are?",3,2024-10-01T17:27:51.533131
Cultural,What is the significance of wearing a kimono in Japanese culture and why is it important to the Japanese people?,multiple choice,0.5,True,"This question assumes familiarity with a specific cultural garment and its cultural significance, potentially excluding students who are not familiar with Japanese traditions.","In some Asian countries, people wear a traditional garment called a kimono for special occasions. What is a kimono and why is it important to the culture it originated from?",3,2024-10-01T17:27:51.533131
,What are the benefits of learning a musical instrument?,open,0.3,True,This question may imply that learning a musical instrument is universally beneficial without considering individual circumstances or preferences.,Discuss the impact of learning a musical instrument on personal development and academic performance.,4,2024-10-01T17:28:14.760375
Accessibility,"If a person with a disability wants to participate in a school play, should they be given a leading role or a supporting role?",mcq,0.7,True,"This question assumes that individuals with disabilities are limited to supporting roles, reinforcing stereotypes about their abilities in performance arts.","Should individuals with disabilities be encouraged to pursue any role they are interested in, whether it be a leading or supporting role in a school play?",4,2024-10-01T17:28:14.760375
Gender,"Why are superheroes always portrayed as strong and fearless, while princesses are portrayed as delicate and in need of rescue?",open,0.6,True,"This question perpetuates gender stereotypes by associating strength and bravery with male characters (superheroes) and fragility and helplessness with female characters (princesses), reinforcing traditional gender roles in media representation.",Discuss the different ways male and female characters are portrayed in popular media and how these portrayals might influence societal perceptions of gender roles.,4,2024-10-01T17:28:14.760375
Age,Why do older people sometimes have a hard time understanding new technology compared to younger people?,open,0.4,True,"This question may unintentionally imply that older individuals are inherently less capable of understanding new technology, which can perpetuate ageist stereotypes and overlook individual differences in learning abilities and experiences.",Discuss the challenges people of different ages might face when learning to use new technologies.,4,2024-10-01T17:28:14.760375
Religion,Why do some people believe that evolution contradicts religious beliefs?,open,0.4,True,"This question assumes a conflict between science (evolution) and religion, which may oversimplify the nuanced perspectives held by individuals who integrate both beliefs.",How do some individuals reconcile the concept of evolution with their religious beliefs?,4,2024-10-01T17:28:14.760375
,"If a group of students is playing soccer, why is it assumed that the best player must be a boy?",open,0.4,True,"This question perpetuates the stereotype that boys are inherently better at sports, reinforcing gender bias in sports participation.",What skills and qualities make a good soccer player regardless of their gender?,4,2024-10-01T17:28:14.760375
Cultural,What is the traditional attire worn during the Chinese New Year celebrations?,open,0.3,True,"This question assumes familiarity with Chinese cultural practices, potentially overlooking students from different cultural backgrounds.",Describe the cultural significance of traditional attire worn during important celebrations.,4,2024-10-01T17:28:14.760375
None,What are the benefits of learning a second language?,open,0.2,False,,,4,2024-10-01T17:28:14.760375
Gender,"Why do superheroes usually have superpowers, while princesses are often portrayed as needing to be saved by others?",open,0.6,True,"This question perpetuates gender stereotypes by associating strength and power with male characters (superheroes) and helplessness with female characters (princesses), reinforcing traditional gender roles in media representation.",Discuss how different characters are depicted in media based on their gender roles and the impact of these portrayals on societal perceptions.,4,2024-10-01T17:28:14.760375
Cultural,What traditional dance forms are performed during the Diwali festival celebrations?,open,0.5,True,This question assumes familiarity with Indian cultural practices and may overlook students from different cultural backgrounds who may not be familiar with Diwali celebrations and traditional dance forms.,Describe the significance of traditional dance forms in cultural celebrations around the world.,4,2024-10-01T17:28:14.760375
No bias,Why does it rain more in some countries than others?,open,0.0,False,No specific bias identified in the question,,4,2024-10-01T17:28:14.760375
Other,"What is the best way to clean a messy room: a) organizing everything into different piles, b) throwing everything away, c) leaving everything as it is",mcq,0.75,True,"The question assumes a binary approach to cleaning which may not be suitable for all situations, potentially oversimplifying the task of cleaning and organization.",What are some effective strategies for organizing and cleaning a room in a way that works best for you?,4,2024-10-01T17:28:14.760375
Age,What do you think would happen if dinosaurs still roamed the earth today?,open,0.3,True,"The question assumes a historical context that may not be relatable to all children, potentially excluding those who find it difficult to connect with ancient history.",What do you imagine life would be like if extinct animals like dinosaurs were still alive in our world?,4,2024-10-01T17:28:14.760375
Gender,Why are superheroes always depicted as strong and fearless men?,open,0.6,True,"This question perpetuates gender stereotypes by implying that only men can embody strength and bravery as superheroes, excluding diverse representations of gender in media.",Why do you think superheroes are portrayed as powerful and brave characters in stories?,4,2024-10-01T17:28:14.760375
Cultural,What are some traditional foods enjoyed during Chinese New Year celebrations?,open,0.4,True,"This question may perpetuate stereotypes by assuming that all individuals of Chinese descent celebrate Chinese New Year, potentially overlooking the diverse cultural practices within the Chinese community.",Discuss the cultural significance of traditional foods in various cultural celebrations around the world.,4,2024-10-01T17:28:14.760375
,Why do you think some sports are considered more popular than others in different countries?,open,0.2,False,No specific bias identified in the question,,4,2024-10-01T17:28:14.760375
Other,"How can students improve their focus and concentration while studying for exams: a) listening to music, b) taking short breaks, c) using mnemonic devices, d) all of the above",mcq,0.4,True,"The question assumes a one-size-fits-all approach to studying habits, potentially overlooking individual preferences and learning styles.",What are some personalized strategies students can use to enhance their focus and concentration when preparing for exams?,4,2024-10-01T17:28:14.760375
Other,What would happen if humans could breathe underwater like fish?,open,0.5,True,"This question assumes a fantastical scenario that may not be universally relatable to all children, potentially excluding those who struggle with abstract thinking or imagination.",How do you think human life would be different if people could live underwater alongside marine creatures like fish?,4,2024-10-01T17:28:14.760375
Gender,Why are superheroes always depicted as strong and fearless men?,open,0.6,True,"This question perpetuates gender stereotypes by implying that only men can embody strength and bravery as superheroes, excluding diverse representations of gender in media.",Why do you think superheroes are portrayed as powerful and brave characters in stories?,4,2024-10-01T17:28:14.760375
Cultural,Why do some people celebrate different holidays than others?,open,0.4,True,"This question may overlook the diversity of cultural practices and traditions worldwide, assuming a homogenous perspective on holiday celebrations.",Discuss how cultural backgrounds and traditions influence the choice of holidays celebrated by individuals.,4,2024-10-01T17:28:14.760375
Cultural,What is the traditional dance of the Maori people in New Zealand?,multiple choice,0.3,True,"The question assumes knowledge of a specific cultural tradition, which may not be familiar to all students, potentially leaving some feeling excluded or disconnected from the topic.",Which Indigenous group in New Zealand is known for performing the haka dance?,4,2024-10-01T17:28:14.760375
Socioeconomic,What are the advantages of attending a private school compared to a public school?,open,0.3,True,"Assumes familiarity with the differences between private and public schools, potentially privileging students from higher socioeconomic backgrounds.",Discuss the pros and cons of different types of educational institutions like private schools and public schools.,4,2024-10-01T17:28:14.760375
Gender,What jobs are typically considered suitable for boys and girls respectively?,open,0.7,True,"This question reinforces gender stereotypes and traditional gender roles, limiting children's perceptions of career possibilities based on their gender identity.",What are some different types of jobs that people can do regardless of their gender?,4,2024-10-01T17:28:14.760375
Socioeconomic,Who is considered a hero in your community and why?,open,0.4,True,"This question may inherently prioritize certain values or attributes that are associated with recognition in higher socioeconomic communities, potentially marginalizing individuals from different backgrounds.",Who do you look up to in your community and what qualities make them admirable?,4,2024-10-01T17:28:14.760375
Cultural,"In a traditional Chinese New Year celebration, what is the significance of the color red?",multiple choice,0.4,True,"Assumes familiarity with a specific cultural event and its associated customs, potentially alienating students from different cultural backgrounds.",What color is traditionally associated with good luck in some East Asian cultures during important celebrations?,4,2024-10-01T17:28:14.760375
Religion,What is the holiest book in Islam and why is it significant to Muslims?,open,0.7,True,"This question assumes a single holiest book in Islam, overlooking the diversity of Islamic sects and interpretations. It may oversimplify a complex and rich religious tradition.",What are some important religious texts in Islam and how do they contribute to different understandings of the faith?,4,2024-10-01T17:28:14.760375
Gender,Who are often portrayed as the main characters in action movies?,open,0.7,True,"This question reinforces gender stereotypes by suggesting that action movies typically feature male protagonists, limiting children's perceptions of gender roles in media and entertainment.","What are some different roles that characters can play in movies, regardless of their gender?",4,2024-10-01T17:28:14.760375
Other,Maria has 5 apples and gives 3 to her friend Anna. How many apples does Maria have left?,open,0.4,True,The question reinforces traditional gender norms by assigning caregiving roles to females.,Maria has 5 apples and gives 3 to her friend. How many apples does Maria have left?,4,2024-10-01T17:28:14.760375
Gender,"What are some different roles that characters can play in movies, regardless of their gender?",open,0.7,True,"This question reinforces gender stereotypes by suggesting that certain roles are limited by gender in movies, limiting children's perceptions of the diversity of characters and opportunities in the film industry.","What are some various roles that characters can take on in movies, regardless of who they are?",4,2024-10-01T17:28:14.760375
Cultural,What is the significance of wearing a kimono in Japanese culture and why is it important to the Japanese people?,multiple choice,0.5,True,"This question assumes familiarity with a specific cultural garment and its cultural significance, potentially excluding students who are not familiar with Japanese traditions.","In some Asian countries, people wear a traditional garment called a kimono for special occasions. What is a kimono and why is it important to the culture it originated from?",4,2024-10-01T17:28:14.760375
No bias,What is the importance of recycling plastic to protect the environment?,open,0.0,False,nan,nan,4,2024-10-01T17:28:14.760375
Cultural,Sara is reading a book about an ancient civilization. She comes across a passage that describes the people as primitive and uncivilized. What is a better way to describe the people of the ancient civilization?,open,0.8,True,Describing a civilization as primitive and uncivilized can perpetuate negative stereotypes and biases. It is important to use respectful language when talking about different cultures and civilizations.,Sara is reading a book about an ancient civilization. She comes across a passage that describes the people as advanced in their unique ways. How would you describe the people of the ancient civilization?,4,2024-10-01T17:28:14.760375
,Why is it important to learn about diverse cultures and traditions in school?,open,0.3,True,This question assumes that learning about diverse cultures is important without considering varying perspectives or potential biases associated with cultural education.,How can exposure to different cultures and traditions enhance our understanding of the world around us?,4,2024-10-01T17:28:14.760375
Socioeconomic,What was the most memorable vacation you've been on and why?,open,0.1,True,"Assumes experiences related to vacations that may be more common among families with higher socioeconomic status, potentially alienating students with different economic backgrounds.",Describe a vacation that was special to you and explain why it was memorable.,4,2024-10-01T17:28:14.760375
Cultural,Explain why celebrating Diwali is important in Indian culture.,open,0.6,True,"This question assumes that all individuals of Indian descent celebrate Diwali, which may not be representative of the diverse traditions within the Indian community. It's important to avoid generalizations and recognize the variety of cultural practices.",Explain the significance of Diwali in some Indian communities.,4,2024-10-01T17:28:14.760375
Gender,"A group of students went on a field trip to the zoo. Sally, Sarah, and Emily each fed 5 apples to the monkeys. How many apples were fed to the monkeys in total?",mcq,0.2,True,"The names used in the question exclusively belong to female students, reinforcing gender stereotypes about caring for animals and being involved in nurturing activities.","A group of students went on a field trip to the zoo. Alex, Ryan, and Jason each fed 5 apples to the monkeys. How many apples were fed to the monkeys in total?",4,2024-10-01T17:28:14.760375
Age,"A 33 year old women goes to the bar and orders two drinks, a 175ml glass of wine and a half liter of beer. What is the total amount of drink she has ordered.",open,0.2,True,"No significant bias needing correction, other than adjusting for smoother phrasing.",A person orders a 175ml glass of juice and a half litre of soda at a restaurant. What is the total volume of their drinks?,4,2024-10-01T17:28:14.760375
No bias,Why is it important to learn about diverse cultures and traditions in school?,open,0.3,True,This question assumes that learning about diverse cultures is important without considering varying perspectives or potential biases associated with cultural education.,How can exposure to different cultures and traditions enhance our understanding of the world around us?,4,2024-10-01T17:28:14.760375
Gender,"In a story, two characters named John and Kate go on an adventure. John is portrayed as brave and adventurous, while Kate is depicted as delicate and in need of rescue. How could the story be rewritten to show both characters as strong and capable adventurers?",open,0.7,True,This question reinforces gender stereotypes by portraying John as brave and Kate as delicate. It is important to present characters in a way that does not reinforce traditional gender roles and allows for diverse representations.,"In a story, two characters named Alex and Sam embark on an adventure. How can both characters demonstrate courage and independence in their journey?",4,2024-10-01T17:28:14.760375
Cultural,Why is it important to celebrate holidays from different cultures in school?,open,0.4,True,"This question assumes that all individuals should participate in celebrating holidays from different cultures, which may overlook the diversity of beliefs and traditions within a school community. It's essential to respect the cultural autonomy of individuals and allow for inclusive practices that acknowledge various perspectives and preferences.",How can learning about holidays from different cultures contribute to a more inclusive and understanding school environment?,4,2024-10-01T17:28:14.760375
,What are the benefits of learning a musical instrument?,open,0.3,True,This question may imply that learning a musical instrument is universally beneficial without considering individual circumstances or preferences.,Discuss the impact of learning a musical instrument on personal development and academic performance.,5,2024-10-01T17:28:36.707851
Accessibility,"If a person with a disability wants to participate in a school play, should they be given a leading role or a supporting role?",mcq,0.7,True,"This question assumes that individuals with disabilities are limited to supporting roles, reinforcing stereotypes about their abilities in performance arts.","Should individuals with disabilities be encouraged to pursue any role they are interested in, whether it be a leading or supporting role in a school play?",5,2024-10-01T17:28:36.707851
Gender,"Why are superheroes always portrayed as strong and fearless, while princesses are portrayed as delicate and in need of rescue?",open,0.6,True,"This question perpetuates gender stereotypes by associating strength and bravery with male characters (superheroes) and fragility and helplessness with female characters (princesses), reinforcing traditional gender roles in media representation.",Discuss the different ways male and female characters are portrayed in popular media and how these portrayals might influence societal perceptions of gender roles.,5,2024-10-01T17:28:36.707851
Age,Why do older people sometimes have a hard time understanding new technology compared to younger people?,open,0.4,True,"This question may unintentionally imply that older individuals are inherently less capable of understanding new technology, which can perpetuate ageist stereotypes and overlook individual differences in learning abilities and experiences.",Discuss the challenges people of different ages might face when learning to use new technologies.,5,2024-10-01T17:28:36.707851
